Year,Movie ID,Movie Title,Revenue,IMDB ID
1927,287262,The Battles of the Coronel and Falkland Islands,6241682,0221007
1928,173689,Lights of New York,1200000,0019096
1929,65203,The Broadway Melody,4358000,0019729
1930,166307,Tom Sawyer,11000000,0070814
1931,3035,Frankenstein,12000000,0021884
1932,33680,Grand Hotel,2594000,0022958
1933,244,King Kong,10000000,0360717
1934,8208,The Man Who Knew Too Much,10250000,0049470
1935,12311,Mutiny on the Bounty,4460000,0026752
1936,3082,Modern Times,8500000,0027977
1937,408,Snow White and the Seven Dwarfs,184925486,0029583
1938,34106,You Can't Take It with You,7433101,0030993
1939,770,Gone with the Wind,402352579,0031381
1940,10895,Pinocchio,84300000,0032910
1941,15,Citizen Kane,23217674,0033467
1942,3170,Bambi,267447150,0034492
1943,98493,Hitler's Children,3355000,2359085
1944,17661,Going My Way,16300000,0036872
1945,32430,The Bells of St. Mary's,21300000,0037536
1946,240417,Seeds of Destiny,200000000,0038919
1947,33667,Gentleman's Agreement,7800000,0039416
1948,3089,Red River,9012000,0040724
1949,29993,Samson and Delilah,11500000,0041838
1950,11224,Cinderella,263591415,1661199
1951,12092,Alice in Wonderland,572000000,1014759
1952,27191,The Greatest Show on Earth,36000000,0044672
1953,10693,Peter Pan,87404651,0046183
1954,567,Rear Window,36764313,0047396
1955,10340,Lady and the Tramp,93933394,0048280
1956,6844,The Ten Commandments,122700000,0049833
1957,826,The Bridge on the River Kwai,44908000,0050212
1958,17352,South Pacific,36800000,0052225
1959,665,Ben-Hur,164000000,0052618
1960,967,Spartacus,60000000,1442449
1961,12230,One Hundred and One Dalmatians,215880014,0055254
1962,11349,Cape Fear,103000000,0101540
1963,657,From Russia with Love,78898765,0057076
1964,658,Goldfinger,124881062,0058150
1965,15121,The Sound of Music,286214286,0059742
1966,14689,Hawaii,34562222,2801746
1967,9325,The Jungle Book,205843612,3040964
1968,62,2001: A Space Odyssey,68700000,0062622
1969,642,Butch Cassidy and the Sundance Kid,102308889,0064115
1970,9062,Love Story,136400000,0066011
1971,3122,La figlia di Frankenstein,139683000,0067321
1972,238,The Godfather,245066411,0068646
1973,9552,The Exorcist,441306145,0070047
1974,11072,Blazing Saddles,119601481,0071230
1975,578,Jaws,470653000,0073195
1976,195012,To Fly!,120700000,0075333
1977,11,Star Wars,775398007,0076759
1978,1924,Superman,300218018,0078346
1979,698,Moonraker,210308099,0079574
1980,1891,The Empire Strikes Back,538400000,0080684
1981,85,Raiders of the Lost Ark,389925971,0082971
1982,601,E.T. the Extra-Terrestrial,792965326,0083866
1983,1892,Return of the Jedi,572700000,0086190
1984,87,Indiana Jones and the Temple of Doom,333000000,0087469
1985,105,Back to the Future,381109762,0088763
1986,744,Top Gun,356830601,0092099
1987,10998,Fatal Attraction,320145693,0093010
1988,380,Rain Man,354825435,0095953
1989,89,Indiana Jones and the Last Crusade,474171806,0097576
1990,251,Ghost,505000000,0099653
1991,280,Terminator 2: Judgment Day,520000000,0103064
1992,812,Aladdin,504050219,0103639
1993,329,Jurassic Park,920100000,0107290
1994,8587,The Lion King,763455561,0110357
1995,862,Toy Story,373554033,0114709
1996,602,Independence Day,817400891,0116629
1997,597,Titanic,2187463944,0120338
1998,95,Armageddon,553799566,0120591
1999,1893,Star Wars: Episode I - The Phantom Menace,924317558,0120915
2000,955,Mission: Impossible II,546388105,0120755
2001,671,Harry Potter and the Philosopher's Stone,976475550,0241527
2002,121,The Lord of the Rings: The Two Towers,926287400,0167261
2003,122,The Lord of the Rings: The Return of the King,1118888979,0167260
2004,809,Shrek 2,928760770,0298148
2005,674,Harry Potter and the Goblet of Fire,895921036,0330373
2006,58,Pirates of the Caribbean: Dead Man's Chest,1065659812,0383574
2007,285,Pirates of the Caribbean: At World's End,961000000,0449088
2008,155,The Dark Knight,1004558444,0468569
2009,19995,Avatar,2787965087,0499549
2010,10193,Toy Story 3,1066969703,0435761
2011,12445,Harry Potter and the Deathly Hallows: Part 2,1341511219,1201607
2012,24428,The Avengers,1519557910,0848228
2013,109445,Frozen,1274219009,2294629
2014,91314,Transformers: Age of Extinction,1104054072,2109248
2015,140607,Star Wars: The Force Awakens,2068223624,7768640
2016,271110,Captain America: Civil War,1153296293,3498820
2017,181808,Star Wars: The Last Jedi,1332539889,3486354
2018,299536,Avengers: Infinity War,2046239637,4154756
2019,299534,Avengers: Endgame,2797800564,4154796
