Year,Movie ID,Movie Title,Revenue
1927,287262,The Battles of the Coronel and Falkland Islands,6241682
1928,173689,Lights of New York,1200000
1929,65203,The Broadway Melody,4358000
1930,166307,Tom Sawyer,11000000
1931,3035,Frankenstein,12000000
1932,33680,Grand Hotel,2594000
1933,244,King Kong,10000000
1934,8208,The Man Who Knew Too Much,10250000
1935,12311,Mutiny on the Bounty,4460000
1936,3082,Modern Times,8500000
1937,408,Snow White and the Seven Dwarfs,184925486
1938,34106,You Can't Take It with You,7433101
1939,770,Gone with the Wind,402352579
1940,10895,Pinocchio,84300000
1941,15,Citizen Kane,23217674
1942,3170,Bambi,267447150
1943,98493,Hitler's Children,3355000
1944,17661,Going My Way,16300000
1945,32430,The Bells of St. Mary's,21300000
1946,240417,Seeds of Destiny,200000000
1947,33667,Gentleman's Agreement,7800000
1948,3089,Red River,9012000
1949,29993,Samson and Delilah,11500000
1950,11224,Cinderella,263591415
1951,12092,Alice in Wonderland,572000000
1952,27191,The Greatest Show on Earth,36000000
1953,10693,Peter Pan,87404651
1954,567,Rear Window,36764313
1955,10340,Lady and the Tramp,93933394
1956,6844,The Ten Commandments,122700000
1957,826,The Bridge on the River Kwai,44908000
1958,17352,South Pacific,36800000
1959,665,Ben-Hur,164000000
1960,967,Spartacus,60000000
1961,12230,One Hundred and One Dalmatians,215880014
1962,11349,Cape Fear,103000000
1963,657,From Russia with Love,78898765
1964,658,Goldfinger,124881062
1965,15121,The Sound of Music,286214286
1966,14689,Hawaii,34562222
1967,9325,The Jungle Book,205843612
1968,62,2001: A Space Odyssey,68700000
1969,642,Butch Cassidy and the Sundance Kid,102308889
1970,9062,Love Story,136400000
1971,3122,La figlia di Frankenstein,139683000
1972,238,The Godfather,245066411
1973,9552,The Exorcist,441306145
1974,11072,Blazing Saddles,119601481
1975,578,Jaws,470653000
1976,195012,To Fly!,120700000
1977,11,Star Wars,775398007
1978,1924,Superman,300218018
1979,698,Moonraker,210308099
1980,1891,The Empire Strikes Back,538400000
1981,85,Raiders of the Lost Ark,389925971
1982,601,E.T. the Extra-Terrestrial,792965326
1983,1892,Return of the Jedi,572700000
1984,87,Indiana Jones and the Temple of Doom,333000000
1985,105,Back to the Future,381109762
1986,744,Top Gun,356830601
1987,10998,Fatal Attraction,320145693
1988,380,Rain Man,354825435
1989,89,Indiana Jones and the Last Crusade,474171806
1990,251,Ghost,505000000
1991,280,Terminator 2: Judgment Day,520000000
1992,812,Aladdin,504050219
1993,329,Jurassic Park,920100000
1994,8587,The Lion King,763455561
1995,862,Toy Story,373554033
1996,602,Independence Day,817400891
1997,597,Titanic,2187463944
1998,95,Armageddon,553799566
1999,1893,Star Wars: Episode I - The Phantom Menace,924317558
2000,955,Mission: Impossible II,546388105
2001,671,Harry Potter and the Philosopher's Stone,976475550
2002,121,The Lord of the Rings: The Two Towers,926287400
2003,122,The Lord of the Rings: The Return of the King,1118888979
2004,809,Shrek 2,928760770
2005,674,Harry Potter and the Goblet of Fire,895921036
2006,58,Pirates of the Caribbean: Dead Man's Chest,1065659812
2007,285,Pirates of the Caribbean: At World's End,961000000
2008,155,The Dark Knight,1004558444
2009,19995,Avatar,2787965087
2010,10193,Toy Story 3,1066969703
2011,12445,Harry Potter and the Deathly Hallows: Part 2,1341511219
2012,24428,The Avengers,1519557910
2013,109445,Frozen,1274219009
2014,91314,Transformers: Age of Extinction,1104054072
2015,140607,Star Wars: The Force Awakens,2068223624
2016,271110,Captain America: Civil War,1153296293
2017,181808,Star Wars: The Last Jedi,1332539889
2018,299536,Avengers: Infinity War,2046239637
2019,299534,Avengers: Endgame,2797800564
